GAME_DATE,last_name,first_name,Current Status,Reason
2023-10-25,Matthews,Wesley,Out,Injury/Illness-RightCalf;MildStrain
2023-10-25,Bouknight,James,Out,Injury/Illness-LeftKnee;Surgery
2023-10-25,Martin,Cody,Out,Injury/Illness-LeftKnee;Soreness
2023-10-25,McGowens,Bryce,Doubtful,Injury/Illness-LeftAnkle;Sprain
2023-10-25,Ntilikina,Frank,Out,Injury/Illness-Lefttibia;Fracture
2023-10-25,Eason,Tari,Out,"Injury/Illness-LeftLowerLeg;Stress
Reaction"
2023-10-25,Oladipo,Victor,Out,"Injury/Illness-LeftPatellarTendon;
Repair"
2023-10-25,Harris,Gary,Questionable,Injury/Illness-LeftAdductor;Strain
2023-10-25,Harris,Kevon,Out,Injury/Illness-RightKnee;Sore
2023-10-25,Davis,Johnny,Out,"Injury/Illness-LeftElbow;Leftelbow
UCLsprain"
2023-10-25,Gill,Anthony,Out,"Injury/Illness-LeftHamstring;Left
hamstringstrain"
2023-10-25,Shamet,Landry,Out,Injury/Illness-LeftToe;Left1sttoe
2023-10-25,Allen,Jarrett,Out,"Injury/Illness-LeftAnkle;Bone
Bruise"
2023-10-25,Garland,Darius,Questionable,Injury/Illness-LeftHamstring;Strain
2023-10-25,Wade,Dean,Doubtful,Injury/Illness-Illness;Illness
2023-10-25,Whitehead,Dariq,Out,"Injury/Illness-RightFoot;
Surgery/Rehab"
2023-10-25,Bogdanovic,Bojan,Out,Injury/Illness-RightCalf;Strain
2023-10-25,Livers,Isaiah,Out,Injury/Illness-LeftAnkle;Sprain
2023-10-25,Morris,Monte,Out,"Injury/Illness-RightQuadriceps;
Strain"
2023-10-25,Highsmith,Haywood,Out,Injury/Illness-LeftKnee;Sprain
2023-10-25,Richardson,Josh,Out,Injury/Illness-LeftFoot;Discomfort
2023-10-25,Clark,Jaylen,Out,"Injury/Illness-RightAchillesTendon;
RuptureRehab"
2023-10-25,McDaniels,Jaden,Out,Injury/Illness-LeftCalf;Strain
2023-10-25,Koloko,Christian,Out,Injury/Illness-Illness;Respiratory
2023-10-25,Alvarado,Jose,Out,Injury/Illness-RightAnkle;Sprain
2023-10-25,Marshall,Naji,Out,Injury/Illness-RightKnee;Contusion
2023-10-25,MurphyIII,Trey,Out,"Injury/Illness-LeftKnee;Partial
Meniscectomy"
2023-10-25,Adams,Steven,Out,Injury/Illness-RightKnee;PCLSprain
2023-10-25,Aldama,Santi,Out,Injury/Illness-RightAnkle;Sprain
2023-10-25,Clarke,Brandon,Out,"Injury/Illness-LeftAchilles;Tendon
Repair"
2023-10-25,Williams,Jaylin,Out,"Injury/Illness-RightHamstring;
Strain"
2023-10-25,Williams,Kenrich,Out,Injury/Illness-LowBack;Spasms
2023-10-25,Ball,Lonzo,Out,Injury/Illness-LeftKnee;Surgery
2023-10-25,Duarte,Chris,Questionable,Injury/Illness-LeftKnee;Soreness
2023-10-25,Lyles,Trey,Out,Injury/Illness-LeftCalf;Strain
2023-10-25,Doncic,Luka,Questionable,Injury/Illness-LeftCalf;Strain
2023-10-25,Hardy,Jaden,Questionable,Injury/Illness-LeftAnkle;Sprain
