GAME_DATE,last_name,first_name,Injury_Status,Reason
2024-10-25,Bogdanovic,Bojan,Out,"Injury/Illness-LeftFoot;Injury
Recovery"
2024-10-25,Sharpe,Day'Ron,Out,Injury/Illness-LeftHamstring;Strain
2024-10-25,Watford,Trendon,Out,Injury/Illness-LeftHamstring;Strain
2024-10-25,Isaac,Jonathan,Questionable,Injury/Illness-LeftHip;Contusion
2024-10-25,Embiid,Joel,Out,"Injury/Illness-LeftKnee;Injury
Management"
2024-10-25,George,Paul,Out,Injury/Illness-LeftKnee;BoneBruise
2024-10-25,Martin,Caleb,Probable,Injury/Illness-RightCalf;Contusion
2024-10-25,Barrett,RJ,Doubtful,"Injury/Illness-RightShoulder;AC
Joint;Sprain"
2024-10-25,Brown,Bruce,Out,"Injury/Illness-RightKnee;
ArthroscopicSurgicalProcedure"
2024-10-25,Olynyk,Kelly,Out,Injury/Illness-Back;Lumbar;Strain
2024-10-25,Quickley,Immanuel,Doubtful,"Injury/Illness-RightPelvic;
Contusion"
2024-10-25,Walter,Ja'Kobe,Out,"Injury/Illness-RightShoulder;AC
Joint;Sprain"
2024-10-25,Green,Josh,Questionable,Injury/Illness-LeftAchilles;Soreness
2024-10-25,Jeffries,DaQuan,Out,Injury/Illness-RightHand;Fracture
2024-10-25,Miller,Brandon,Out,Injury/Illness-LeftGlute;Strain
2024-10-25,Salaun,Tidjane,Questionable,Injury/Illness-LeftFinger;Sprain
2024-10-25,Williams,Mark,Out,"Injury/Illness-LeftFoot;Tendon
Strain"
2024-10-25,Barlow,Dominick,Out,Injury/Illness-LowBack;Contusion
2024-10-25,Bogdanovic,Bogdan,Out,"Injury/Illness-RightHamstring;
Tendinopathy"
2024-10-25,Bufkin,Kobe,Out,"Injury/Illness-RightShoulder;
Subluxation"
2024-10-25,Lundy,Seth,Out,Injury/Illness-LeftAnkle;Sprain
2024-10-25,Klintman,Bobi,Out,Injury/Illness-RightCalf;Contusion
2024-10-25,Thompson,Ausar,Out,"ReturntoCompetition
Reconditioning"
2024-10-25,Strus,Max,Out,Injury/Illness-RightAnkle;Sprain
2024-10-25,Jackson,Isaiah,Questionable,Injury/Illness-RightGroin;Strain
2024-10-25,Wiseman,James,Out,"Injury/Illness-LeftAchillesTendon;
Tear"
2024-10-25,Achiuwa,Precious,Out,"Injury/Illness-LeftHamstring;
Strained"
2024-10-25,Robinson,Mitchell,Out,Injury/Illness-LeftAnkle;Surgery
2024-10-25,Ball,Lonzo,Out,"Injury/Illness-LeftKnee;Surgery;
InjuryManagement"
2024-10-25,Terry,Dalen,Available,"Injury/Illness-LeftPatellaTendon;
Tendonitis"
2024-10-25,Antetokounmpo,Giannis,Probable,"Injury/Illness-RightPatella;
Tendinitis"
2024-10-25,Lopez,Brook,Probable,Injury/Illness-RightQuad;Contusion
2024-10-25,Middleton,Khris,Out,"Injury/Illness-BilateralAnkle;
Surgery"
2024-10-25,JacksonJr.,Jaren,Doubtful,Injury/Illness-LeftHamstring;Strain
2024-10-25,Jackson,GG,Out,"Injury/Illness-RightFifthMetatarsal;
Repair"
2024-10-25,Kennard,Luke,Out,"Injury/Illness-LeftFoot;Muscle
Strain"
2024-10-25,Spencer,Cam,Out,Injury/Illness-RightAnkle;Sprain
2024-10-25,WilliamsJr.,Vince,Out,"Injury/Illness-LeftTibial;Stress
Reaction"
2024-10-25,Adams,Steven,Out,"Injury/Illness-RightKnee;Injury
Recovery;LeftCalfStrain"
