Date,Team,Home/Away,Opp,Venue,W/L,Team Pts,Opp Pts,Spread,Transition_percent_O,Transition_percent_D,Total_Transition_percent
2025-04-30,LAL,Home,MIN,LAL,L,96,103,-6,0.158,0.172,0.33
2025-04-27,LAL,Away,MIN,MIN,L,113,116,2.5,0.133,0.144,0.277
2025-04-25,LAL,Away,MIN,MIN,L,104,116,4,0.229,0.158,0.387
2025-04-22,LAL,Home,MIN,LAL,W,94,85,-5.5,0.128,0.115,0.243
2025-04-19,LAL,Home,MIN,LAL,L,95,117,-4.5,0.096,0.181,0.277
2025-04-13,LAL,Away,POR,POR,L,81,109,6,0.088,0.132,0.22
2025-04-11,LAL,Home,HOU,LAL,W,140,109,-14,0.179,0.167,0.346
2025-04-09,LAL,Away,DAL,DAL,W,112,97,-4.5,0.143,0.152,0.295
2025-04-08,LAL,Away,OKC,OKC,L,120,136,9,0.063,0.094,0.157
2025-04-06,LAL,Away,OKC,OKC,W,126,99,9,0.169,0.189,0.358
2025-04-04,LAL,Home,NOP,LAL,W,124,108,-16,0.144,0.146,0.29
2025-04-03,LAL,Home,GSW,LAL,L,116,123,-1,0.088,0.088,0.176
2025-03-31,LAL,Home,HOU,LAL,W,104,98,-4,0.206,0.165,0.371
2025-03-29,LAL,Away,MEM,MEM,W,134,127,1.5,0.117,0.118,0.235
2025-03-27,LAL,Away,CHI,CHI,L,117,119,-4,0.146,0.204,0.35
2025-03-26,LAL,Away,IND,IND,W,120,119,1,0.062,0.115,0.177
2025-03-24,LAL,Away,ORL,ORL,L,106,118,-4,0.178,0.133,0.311
2025-03-22,LAL,Home,CHI,LAL,L,115,146,-10.5,0.144,0.281,0.425
2025-03-20,LAL,Home,MIL,LAL,L,89,118,8.5,0.103,0.221,0.324
2025-03-19,LAL,Home,DEN,LAL,W,120,108,-5.5,0.192,0.143,0.335
2025-03-17,LAL,Home,SAS,LAL,W,125,109,-9,0.131,0.182,0.313
2025-03-16,LAL,Home,PHX,LAL,W,107,96,-3,0.097,0.2,0.297
2025-03-14,LAL,Away,DEN,DEN,L,126,131,15.5,0.099,0.15,0.249
2025-03-13,LAL,Away,MIL,MIL,L,106,126,6,0.146,0.137,0.283
2025-03-10,LAL,Away,BKN,BKN,L,108,111,-5.5,0.138,0.14,0.278
2025-03-08,LAL,Away,BOS,BOS,L,101,111,6,0.065,0.14,0.205
2025-03-06,LAL,Home,NYK,LAL,W,113,109,-2.5,0.167,0.163,0.33
2025-03-04,LAL,Home,NOP,LAL,W,136,115,-7.5,0.121,0.233,0.354
2025-03-02,LAL,Home,LAC,LAL,W,108,102,2.5,0.176,0.198,0.374
2025-02-28,LAL,Home,LAC,LAL,W,106,102,-1.5,0.137,0.126,0.263
2025-02-27,LAL,Home,MIN,LAL,W,111,102,-6,0.105,0.137,0.242
2025-02-25,LAL,Home,DAL,LAL,W,107,99,-8.5,0.182,0.163,0.345
